Application,Dependency_Category,Service_Dependency,Requirement_Level,Notes
FTPDepot,AWS,US-East-1,Required,
FTPDepot,DNS,Resolution,Required,
FTPDepot,AWS,Beanstalk OR Fargate,Required,WebApp nodes
FTPDepot,AWS,Aurora,Required,flavor
FTPDepot,AWS,EC2,Required,ProFTP nodes
FTPDepot,AWS,EFS,Required,"Files uploaded to FTP-Depot, all ProFTPd nodes see the same set of files, files are kept for 30 days"
FTPDepot,AWS,CloudTrail,Required,
FTPDepot,AWS,SES,Required,WebApp mailing - password related and welcome email
FTPDepot,AWS,SQS,Required,WebApps use a queue to manage background jobs
FTPDepot,AWS,NLB,Required,"Route 80/443 to ALB, all other ports to ProFTPd pool"
FTPDepot,AWS,ALB,Required,"Route /admin to the Admin WebApp, all other traffic to User WebApp"
FTPDepot,Software,PROFTPd,Required,"FTP, FTPS (explicit), FTPS (implicit), SFTP/SCP"
FTPDepot,LDAP,WVU-AD,Required,For Admin WebApp authentication
FTPDepot,Logging,Splunk,Degraded,
FTPDepot,Network,VPN to AWS,Degraded,For Admin WebApp
Banner,AWS,FTPDepot,Degraded,
MAP,AWS,FTPDepot,Degraded,Payroll
LISTSERV,AWS,FTPDepot,Degraded,
LISTSERV,Network,OWP Data Center Network,Required,
LISTSERV,DNS,Resolution,Required,
LISTSERV,VMware,ESXi,Required,Legacy Cluster
LISTSERV,VMware,NSX,Required,
LISTSERV,VMware,VDP,Required,Backup
LISTSERV,Database,MySQL,Required,User Credentials
LISTSERV,Software,RHEL,Required,
LISTSERV,Software,LISTSERV,Required,L-Soft
LISTSERV,SMTP,BulkMail,Required,MX servers
LISTSERV,Logging,Splunk,Degraded,
VPN to AWS,Network,Palo Alto,Required,
VPN to AWS,Network,Internet,Required,
VPN to AWS,AWS,US-East-1,Required,
VPN to AWS,AWS,Transit Gateway,Required,
MAP,Network,Palo Alto,Required,
MAP,Network,Internet,Required,
Banner,Network,Internet,Degraded,
Banner,VMware,NSX,Required,
FTPDepot,Network,Internet,Required,
